ISIN,Name,Sector,Country
BE0003845626,Compagnie Nationale a Portefeuille SA,55102020,BE
BE0003867844,KBC Ancora BV,55102020,BE
BE0974256852,Etablissementen Franz Colruyt NV,54301020,BE
BE0974258874,NV Bekaert SA,52102030,BE
BE0974259880,D'Ieteren NV,53403010,BE
BE0974264930,Ageas SA,55301010,BE
BE0974290224,Dexia SA,55101010,BE
BE0974293251,Anheuser Busch Inbev SA,54101010,BE
BE0974320526,Umicore SA,51101030,BE
BE0974338700,Titan Cement International SA,51202010,BE
BMG0171K1018,Alibaba Health Information Technology Ltd,56101010,HK
BMG0171W1055,Alibaba Pictures Group Ltd,53302030,HK
BMG0450A1053,Arch Capital Group Ltd,55301020,BM
BMG0684D1074,Athene Holding Ltd,55301030,BM
BMG0692U1099,AXIS Capital Holdings Ltd,55301010,BM
BMG0750C1082,Axalta Coating Systems Ltd,51101010,US
BMG0957L1090,Beijing Enterprises Water Group Ltd,59103010,HK
BMG1368B1028,Brilliance China Automotive Holdings Ltd,53101010,HK
BMG169621056,Bunge Ltd,54102020,US
BMG200452024,Central European Media Enterprises Ltd,53302020,CZ
BMG2108M2182,Chinese Estates Holdings Ltd,60101010,HK
BMG2108V1019,China Oriental Group Co Ltd,51201020,HK
BMG2109G1033,China Gas Holdings Ltd,59102010,HK
BMG2113B1081,China Resources Gas Group Ltd,59102010,HK
BMG211591018,China Yurun Food Group Ltd,54102020,CN
BMG2154F1095,China Foods Ltd,54102020,HK
BMG2155Y1075,CITIC Resources Holdings Ltd,51201030,HK
BMG2178K1009,CK Infrastructure Holdings Ltd,59104010,HK
BMG2442N1048,COSCO SHIPPING Ports Ltd,52407020,HK
BMG2519Y1084,Credicorp Ltd,55101010,PE
BMG2624N1535,Dairy Farm International Holdings Ltd,54301020,HK
BMG3122U1457,Esprit Holdings Ltd,53202020,HK
BMG3223R1088,Everest Re Group Ltd,55301050,BM
BMG348041077,First Pacific Co Ltd,54102020,HK
BMG3682E1921,Frontline Ltd,50103030,BM
BMG3727Q1015,Freescale Semiconductor Ltd,57101010,US
BMG3978C1249,GOME Retail Holdings Ltd,53403050,CN
BMG423131256,Haier Electronics Group Co Ltd,53204030,HK
BMG4288J1062,Hanergy Thin Film Power Group Ltd,50201010,HK
BMG4404N1065,nan,,
BMG4587L1090,Hongkong Land Holdings Ltd,60101010,BM
BMG4600H1016,Hopson Development Holdings Ltd,60101010,HK
BMG4639H1227,Huabao International Holdings Ltd,51101010,HK
BMG475671050,IHS Markit Ltd,52203070,GB
BMG4769M1156,Imperial Pacific International Holdings Ltd,53301030,HK
BMG491BT1088,Invesco Ltd,55102020,US
BMG507361001,Jardine Matheson Holdings Ltd,54401010,HK
BMG507641022,Jardine Strategic Holdings Ltd,54401010,HK
BMG5150J1577,Johnson Electric Holdings Ltd,52102030,HK
BMG524401079,Kerry Properties Ltd,60101010,HK
BMG5266H1034,Kingston Financial Group Ltd,55102010,HK
BMG5320C1082,Kunlun Energy Company Ltd,59102010,HK
BMG5485F1692,LI & Fung Ltd,52405010,HK
